all_preds_reg,all_preds_cls,all_labels_cls,all_labels_reg,premise,entailment
4.5873036,1,0,4.4,A woman is putting meat in a pan,The meat is being dropped into a pan
3.0659902,2,0,2.6,A woman is collecting tap water in a mug,There is no boy filling a pitcher with water
4.475816,1,0,3.6,A woman is taking off eyeshadow,A woman is putting on eyeshadow
3.6172423,0,2,3.0,A woman is putting on eyeshadow,The woman is removing make-up
3.6152534,2,0,3.6,A toy train is missing a toy car,A toy train is striking a toy car
4.3922477,1,0,3.2,A toy train is striking a toy car,A car and a train are striking a toy
4.833067,1,0,3.7,A person is peeling an onion,Onions are being sliced by the person
3.75345,2,0,3.0,The person is not slicing onions,A person is peeling an onion
4.226429,1,0,3.3,A woman is picking up and holding a baby kangaroo in her arms,A woman is dropping a baby kangaroo from her arms
4.165555,1,0,3.6,The woman is picking up and holding a baby kangaroo,A woman is dropping a baby kangaroo from her arms
4.3896637,1,0,3.2,A woman is scrubbing a zucchini with a vegetable brush,A woman is eating zucchini and vegetables and scrubbing with a brush
4.107633,2,0,3.8,There is no woman scrubbing a zucchini with a vegetable brush,A person is scrubbing a zucchini
2.969549,0,1,4.3,A man in a hat is playing a harp,A man is playing an instrument
3.357729,2,0,3.3,The woman with the knife is not slicing a pepper,A woman is slicing a green pepper
4.5577583,1,0,4.3,A cat is playing a piano,The cat is playing keyboards
3.6991158,0,1,4.3,A man is rising from a swamp,A man is coming out of the water
3.491736,0,1,4.8,A man is doing exercise,A man is exercising
2.670979,0,2,2.5,The man is silent and still,The man is singing and playing the guitar
3.9620743,0,1,4.3,The women are dancing outside,A few people are dancing
3.1304445,0,2,3.4,There is no group of people dancing,The women are dancing outside
4.3812943,1,0,3.7,Some boys are in front of dancing people,Boys are dancing in front of some people
4.039877,0,1,4.4,The boy is riding a bike on the top of a metal fence,The biker is riding along the top of a fence
4.0501537,0,1,4.2,The boy is riding a bike on the top of a metal fence,A biker is riding along the top of a fence
4.6902347,1,0,4.27,A child is slowly waking up,A girl is waking up
4.4027615,1,0,3.8,A man is climbing up a rope,A man is coming down a rope
4.3191776,0,2,3.6,The woman is putting down the kangaroo,The woman is picking up the kangaroo
4.0467005,1,0,3.1,A man is breaking a wooden hand against a board,A man is breaking wooden boards with his hand
4.599414,1,0,3.5,A man is breaking boards made of wood with his hand,A man is breaking tiles with his hands
4.1957827,1,0,2.7,A man is breaking a wooden hand against a board,A man is breaking tiles with his hands
4.363916,1,0,3.9,A man is breaking wooden boards with his hand,A man is breaking tiles with his hands
2.9148684,0,2,3.6,There is no man running on the road,A man is running on the road
2.9986854,2,0,2.3,A dog is running on the road,There is no man running on the road
4.481886,1,2,3.235,A man is inside the house and is throwing blades at a close target,A man is outside and is throwing blades at a close target
3.0735621,0,2,3.5,The person is not drawing,A man is drawing a picture
3.7561405,1,0,4.6,Someone is drawing a person,A man is drawing a picture
4.235772,1,0,3.3,A man is taking a picture of a drawing,The person is drawing
3.7462578,0,1,4.6,A man is drawing a picture,The person is drawing
2.6364777,2,0,4.3,The panda bear is not lying on the logs,A cute panda is lying down
2.4226108,0,1,3.3,A woman is cutting an onion,A woman is not cutting meat
3.8319716,1,0,3.2,The man is erasing the other man's work from the board,The girl is erasing the other man's work from the board
3.3179765,2,0,3.0,There is no woman slicing an eggplant,A woman is cutting a vegetable
3.4226387,2,0,3.7,A person is slicing a piece of bread,There is no man slicing some bread
2.8395648,2,0,1.9,Someone is scratching the belly of an animal,There is no woman stroking a lemur
3.4106634,0,2,3.2,The animal with big eyes is sleeping,The animal with big eyes is eating
3.76571,0,1,3.7,A lemur is eating quickly,The animal with big eyes is eating
2.8749738,2,0,2.3,The animal with big eyes is eating,There is no lemur eating
4.3768973,1,0,3.4,People are singing and a clown is dancing,A clown is singing and people are dancing
2.695462,0,2,4.3,There is no clown singing,A clown is singing and people are dancing
3.4805434,0,1,4.4,A clown is singing and people are dancing,A clown is singing
3.526778,2,0,4.0,A person is not quickly chopping mushrooms with a knife,A man is rapidly chopping some mushrooms with a knife
3.4219995,2,0,3.7,A person is quickly chopping mushrooms with a knife,There is no man rapidly chopping some mushrooms with a knife
4.9525027,1,0,3.6,An old woman is shaking hands with a man,A young woman is shaking hands with a man
4.6397443,1,0,3.4,A plane is landing,A plane is taking off
4.7195454,1,0,4.4,An airplane is taking off,A plane is landing
3.6636302,0,1,4.4,The man is painting,A man is drawing
3.1191342,2,0,3.1,A man is cutting a paper,A person is not tearing paper
4.1926694,0,1,4.3,A man is riding a horse in the desert,A guy is riding a horse
3.0711482,0,1,3.8,Two people in a race are flipping the tires of a tractor,Two men are racing in a tire rolling competition
3.3305106,0,2,3.5,A person is removing chopped vegetables from a pot on the stove,A person is dropping chopped vegetables into a pot on the stove
3.5316916,0,1,4.6,The men are having a conversation,The men are talking
3.6314375,2,0,4.1,Some women are talking,Some women are not talking
4.470153,1,0,4.0,The rhino is being fed on the grass,A rhino is grazing in a field
4.2537813,1,0,3.5,A couple is running towards the ocean,A couple is running and holding hands
3.4318683,0,1,4.6,The boy is playing the piano,The boy is playing a musical instrument
4.0363655,1,0,4.435,A girl is brushing her hair,A girl is combing her hair
3.4212782,2,0,3.3,There is no girl brushing her hair,A girl is styling her hair
4.4109464,1,0,4.3,A girl is styling her hair,A girl is brushing her hair
2.4306164,2,0,3.4,The doctor is helping the patient,The doctors are not reviving a man
4.014556,0,1,5.0,A piece of wood is being screwed to a wall by a man,A man is screwing a piece of wood to a wall
3.7552426,1,2,4.0,A man is emptying a plastic container,A man is filling a plastic container
4.5921183,1,0,4.1,An animal is being ridden by a woman,A woman is riding a horse
3.7128103,2,0,3.2,There is no man singing and playing a guitar,A man is playing a guitar
3.4298158,2,0,4.0,The boy is not cutting the grass by the curb with scissors,A boy is cutting grass with scissors
3.9033465,1,0,4.2,The baby is laughing and crawling,The baby is laughing and toddling
4.457215,1,0,4.3,A man is cutting a big rope with a sword,A man is cutting a thick rope with a sword
4.4260454,1,0,4.0,A man is carving a hole in a piece of wood,A man is drilling a hole in a piece of wood
4.5290394,1,0,3.8,A man is drilling a hole in a piece of wood,A man is drilling a hole with a piece of wood
3.4540925,2,0,3.8,Nobody is drilling a hole in a strip of wood with a power drill,A man is drilling a hole in a piece of wood
4.128208,1,0,4.0,A man is holding a small animal in one hand,A man is holding a big animal in one hand
4.1832237,1,0,3.8,A group of boys is playing soccer on the beach,A group of men is playing with a ball on the beach
4.292275,1,0,4.0,A group of men is playing soccer on the beach,A group of boys is playing soccer on the seashore
3.484085,2,0,3.2,A group of men is playing soccer on the beach,A group of boys is not playing soccer on the beach
4.75881,1,0,3.0,A person is kicking a monkey,A monkey is kicking a person
4.499185,1,0,4.2,The girl is standing on the couch and crocheting,The girl is sitting on the couch and is crocheting
3.4645386,0,1,4.9,A woman is riding on an elephant,An elephant is being ridden by a woman
4.6904597,1,0,3.5,A dog is teasing a monkey at the zoo,A monkey is teasing a dog at the zoo
3.957398,1,0,4.4,A girl is styling her hair,A girl is combing her hair
2.8849537,0,1,4.6,A woman is exercising,A person is exercising
4.0285835,1,0,2.1,Carrots are being sliced by a woman,A woman is cutting potatoes
3.9410222,1,0,3.2,A woman is slicing potatoes,A woman is slicing carrots
3.2079554,2,0,2.7,A woman is slicing carrots,There is no woman cutting potatoes
3.1193323,0,1,4.4,A man is doing pull-ups,A man is doing exercises
2.9549062,0,1,4.4,The man is doing exercises in a gym,The man is exercising
2.9777033,0,2,2.75,The man is not exercising,A man is doing pull-ups
3.4950082,0,1,4.9,The man is exercising,A man is doing exercises
2.9083579,0,1,4.6,A man is doing pull-ups,The man is exercising
3.6931596,0,1,3.9,A cat is walking on the parquet,A cat is walking on a hardwood floor
3.5839956,0,1,4.5,Someone is putting ingredients into a wok,Someone is putting ingredients into a pan
4.4138565,1,0,3.1,Someone is putting ingredients into a pan,A person is cutting garlic into pieces with a knife
3.0145428,2,0,4.0,An officer is talking to the recruits,The military officer is not barking at the recruits
3.7466598,1,0,3.8,Recruits are talking to an officer,The military officer is barking at the recruits
2.9714165,2,0,3.3,A man is cutting an onion,There is no woman slicing an onion
4.177868,1,0,3.3,A woman is painting a man's face,A man is painting a woman's face
3.5472965,0,1,5.0,Makeup is being put on the man by the woman,The woman is putting makeup on the man
3.3035693,2,0,3.7,There is no woman cutting an onion,A man is cutting onions
4.5547566,1,0,4.4,A man is fishing in the river,A man is fishing in the stream
4.2298136,1,0,4.1,A man is singing and standing on the sidewalk,A man is singing and walking down the sidewalk
3.7202778,0,1,4.1,A man is riding a water toy in the water,A man is playing with a water toy in the water
4.5168324,1,0,3.7,A man is doing a card trick,A man is doing a magic trick
3.10715,0,1,4.7,A man is pouring cleaner into the sink,A man is cleaning the sink
4.186165,1,0,2.6,A man is petting two cats,A man is petting two dogs
4.161652,1,0,3.4,A woman is pulling some sticky goo out of a bowl,A woman is putting some sticky goo in a bowl
3.6913676,0,1,4.3,A tiger cub is roaring,A tiger cub is making a sound
4.507851,1,2,4.1,A woman is placing food in a pot of hot water,A woman is placing food in a pot of cold water
3.7386744,0,1,4.5,A rabbit is playing with a toy rabbit,A rabbit is playing with a toy
3.7144222,0,1,4.5,A bunny is playing with a stuffed bunny,A rabbit is playing with a toy
3.9494753,0,1,4.4,A flute is being played by a girl,A girl is playing a wind instrument
3.6977432,2,0,3.7,There is no girl playing a flute,A girl is playing a wind instrument
3.8555882,1,0,3.9,The piano is being played by someone,A person is playing a keyboard
3.2324932,2,0,2.635,Someone is not playing piano,A person is playing a keyboard
3.7086582,0,1,3.8,Someone is playing piano,A person is playing a keyboard
2.98816,0,1,4.5,A man is diving into a pool,A man is diving into the water
4.120483,1,0,3.9,A man is riding a motorbike,A man is riding a scooter
4.1252613,1,0,3.7,A woman is taking eggs out of a bowl,A woman is cracking eggs into a bowl
3.5834062,0,1,3.8,The little kid is singing and playing the guitar,A baby is playing a guitar
3.73991,2,0,3.7,There is no man reading the email,Someone is reading the email
3.274158,0,1,4.5,A man is playing a flute,A man is playing an instrument
3.9183075,1,0,3.5,The lady is cracking an egg into a bowl,The lady is taking an egg out of a bowl
3.0273666,0,1,4.3,A man is playing the drums,A man is playing the instrument
3.817931,0,1,4.4,The man is using a sledgehammer to break a concrete block that is on another person,A man is breaking a slab of concrete with a sledge hammer
3.7213228,0,1,4.5,The man is using a sledgehammer to break a concrete block that is on another man,A man is breaking a block of concrete with a sledge hammer
3.6899755,0,1,4.5,The man is using a sledgehammer to break a concrete block that is on another man,A man is breaking a slab of concrete with a sledge hammer
4.6213493,1,0,4.0,A woman is eating a cupcake,A woman is eating a cake
4.276919,1,0,3.4,A girl is eating a cupcake,A woman is eating a cake
4.7577066,1,0,3.9,A cupcake is being eaten by a girl,A woman is eating a cupcake
4.6703477,1,0,3.8,A girl is eating a cupcake,A woman is eating a cupcake
4.139738,1,0,3.3,A chef is cleaning a bowl of soup,A chef is getting a bowl of soup dirty
4.0256863,1,0,3.5,A chef is cleaning a bowl of soup,A man is cleaning the edge of a bowl
3.3225992,2,0,3.4,A kid is playing the guitar,There is no young boy singing and playing a guitar
3.637677,2,0,3.2,Nobody is stirring a pot of chili with a spoon,Someone is stirring chili in a kettle
4.8049216,1,0,4.1,Someone is stirring chili in a kettle,Someone is stirring a pot of chili with a spoon
4.3256145,1,0,3.5,A cat is playing with a small bottle,A cat is playing with a big bottle
4.383051,1,0,3.5,A small dog is lying on the bed,A small dog is lying under the bed
4.3895917,1,0,3.1,A small dog is lying on a bed,A small dog is lying under the bed
4.0544477,1,0,4.2,The cook is sprinkling cheese on the pizza,A man is putting some cheese on a pizza
4.248501,1,0,3.9,A man is dancing on the ceiling,A great singer is dancing on the ceiling
3.5116336,2,0,3.1,A man is dancing on the ceiling,There is no famous singer dancing on the ceiling
3.8056362,0,1,4.5,A cow is eating grass,A cow is grazing
3.612407,0,1,4.2,A cow is eating hay,A cow is grazing
3.6627698,2,0,3.1,A cow is eating hay,A cow is not eating grass
4.057084,0,1,4.8,A man is talking to a woman,A man and a woman are speaking
4.467907,1,0,4.2,A person is riding an electric bicycle,A man is riding a bicycle
3.5281074,2,0,3.5,A man is riding a bicycle,There is no man riding an electric bicycle
4.2246385,1,0,2.6,A dog is jumping into a box,A cat is jumping into a box
4.5472364,1,0,3.915,An old man is talking to a leaf,A young man is talking to a leaf
4.0461254,1,2,3.6,A man is shooting with a bow,A man is shooting with a gun
4.706699,1,0,4.2,A woman is dancing near a fire,A woman is dancing near a fireplace
4.3032126,1,0,3.3,A man is playing a guitar,A boy is playing a guitar
4.3758154,1,0,3.8,A man is diving off a rock,A man is diving off a cliff
4.2179127,1,0,4.0,Someone is stirring noodles in the water,A man is boiling noodles in water
4.2399673,1,0,4.4,A lemur is biting a person's finger,An animal is biting somebody's hand
4.3163733,1,0,3.9,A boy is skateboarding on a half pipe,A man is skateboarding on a half pipe
4.4281673,1,0,4.1,A skateboarder is doing tricks on a half pipe,A boy is skateboarding on a half pipe
4.5157876,1,0,4.3,A man and a woman are driving down the road in a car,A man and a woman are driving down the road in an open-air vehicle
3.2244267,2,0,3.4,The woman is not seasoning the oil,A woman is pouring ingredients into a bowl
3.816434,0,1,4.0,Two men are boxing,Two men are fighting
2.5598238,2,0,3.415,A dog is chasing a ball through dirt,There is no dog catching a ball
4.264229,1,0,4.1,A man in a hat is walking through a store,A man in a hat is walking past a store
4.5182185,1,0,1.9,The man in a cowboy hat is walking through a market and is putting a hand in his pocket,A walker is in a hat store for men
4.477511,1,0,3.7,A large white crane is flying far above the water,A large white crane is flying near the water
4.14532,0,2,3.7,A dog with golden fur is in the water,A dog with golden fur is out of the water
4.291124,1,0,3.8,A dog with golden fur is in the water,A brown dog is standing in the water
3.0874653,0,2,2.5,The girl is not carrying a sign and no group of people is following her,A young girl in a blue shirt is walking on the sidewalk and holding up a pink sign
2.2169862,0,2,2.7,The girl is carrying a sign and a group of people is following her,There is no young girl in a blue shirt walking on the sidewalk and holding up a pink sign
2.6664267,0,2,3.1,The small child is wading through the water and is being guided by another person,There is no young child splashing in the water
4.1497817,2,0,3.6,The little dog is dropping the bedroom slipper from its mouth,The little dog is grabbing the bedroom slipper with its mouth
4.3470173,1,0,4.1,A person in a blue jacket is jumping off of a tall cement wall,A person in a blue jacket is jumping onto a tall cement wall
4.4729524,1,0,3.6,The brown dogs are playfully fighting on the sandy shore,A brown dog and a red dog are frolicking on the beach
4.434652,1,0,3.7,The brown dogs are playfully fighting on the sandy beach,The brown dog and the red dog are frolicking on the beach
4.4536204,1,0,3.6,A brown dog and a red dog are frolicking on the beach,The brown dogs are playfully fighting on the sandy beach
4.1221747,2,0,3.0,There is no man standing beside a large and colorful birdcage,The man is standing next to a bird cage
4.1418643,0,1,3.9,A brown and white dog is holding a baseball in its mouth,A baseball is being held in its mouth by a black and white dog
4.188155,1,2,3.8,A young boy wearing a red swimsuit is jumping into a blue kiddies pool,A young boy wearing a red swimsuit is jumping out of a blue kiddies pool
3.33794,2,0,2.2,There is no boy wearing red shorts jumping into a paddling pool,A young boy wearing a red swimsuit is jumping into a blue kiddies pool
2.7887833,0,2,2.6,A boy and a girl are naked,A boy and a girl in swimsuits are wearing arm floats
4.4664464,1,0,4.0,The boy and the girl are cheerfully playing and wearing arm floats,A boy and a girl in swimsuits are wearing arm floats
3.6593437,2,0,3.6,The boy and the girl are not playing and wearing arm floats,A boy and a girl in swimsuits are wearing arm floats
4.6269617,1,0,4.0,A boy and a girl in swimsuits are wearing floats for their arms,The boy and the girl are playing and wearing arm floats
4.343753,1,0,3.5,A woman in a yellow shirt is surfing on a pink surfboard,A woman in a pink shirt is surfing through yellow surfboards
4.24559,1,0,3.7,Four people are standing on a low cement ledge,Four people are sitting on a low cement ledge
4.189812,0,1,4.6,A cold cyclist is celebrating,Something is being celebrated by a cold cyclist
4.0364017,0,2,2.7,A policeman is sitting on a motorcycle,A policeman is getting off of a motorcycle
4.4767137,1,0,3.5,A policeman is sitting on a motorcycle,A motorcyclist is sitting by a police man
4.620722,1,0,2.8,The cop is sitting on a police bike,A motorcyclist is sitting by a police man
4.5146055,1,0,4.2,The cop is sitting on a police bicycle,A policeman is sitting on a motorcycle
2.597325,2,0,2.9,A dog with a golden coat is swimming through the water,There is no dog swimming in a lake with sunshine shining on him
3.0985394,0,2,2.5,The little girl in a pink shirt is running under a tree in the desert,There is no girl wearing jeans and a pink shirt and running
3.4793334,2,0,3.1,There is no white dog wearing a Christmas reindeer headband and playing with a brown dog in the grass,The white dog wearing reindeer ears is near a brown dog
3.0690444,2,0,3.6,There is no young boy riding a dirt bike through the mud,A young child is riding a bike on a rough dirt path
3.1872978,0,2,3.7,A woman in a red dress is putting away an instrument,A woman in a red dress is playing an instrument
4.3849964,1,0,3.8,The woman in a red costume is leaning against a brick wall and playing an instrument,An instrument is being played by a woman in a red dress
4.6543865,1,0,3.5,The child is playing with toys outdoors,The child is playing with toys indoors
4.928281,1,0,4.0,A sheepdog is dispersing a herd of sheep,A sheepdog is grouping a herd of sheep
4.337841,1,0,3.2,A yellow palm is in front of a building and one dark skinned male is standing next to it,The dark skinned male is standing on one hand in front of a yellow building
3.8460333,1,0,2.7,The man is playing the guitar and has the guitar case open for donations,The man is opening the guitar for donations and plays with the case
4.178783,1,0,3.5,A couple is sitting on a patio and is staring at the ocean,Two adults are sitting in the chairs and are watching the ocean
4.166098,1,0,3.5,A couple is sitting on a patio and looking at the ocean,Two adults are sitting in the chairs and are watching the ocean
3.0370047,2,0,3.6,A little boy is wearing a yellow tank top and is laughing,There is no small boy in a yellow shirt laughing on the beach
4.676012,1,0,4.33,Two men are riding an orange raft on the beach,Two men are riding an orange raft on the shore
4.251325,0,1,4.3,A dog with really long hair and a red vest is running in the grass,The dog in the red vest is running in the field
4.149887,0,1,4.3,A dog with long hair and a red vest is running in the grass,The dog in the red vest is running in the field
4.4624677,1,0,4.0,One person is standing in a vast field of glacial ice,The person is standing on white ice
2.7913349,2,0,3.6,The person is standing on white ice,There is no person standing in a vast field of glacial ice
3.903168,1,0,3.5,A blond boy is walking up a sand dune with a skateboard,A blond boy is sliding down a sand dune on a skateboard
3.622318,0,2,4.2,A man is putting down an electronic device,A man is holding up an electronic device
3.0916302,0,1,3.4,The man is taking a picture of himself and another guy,A man is holding up an electronic device
3.7241457,0,2,4.2,A brown dog and a black dog are far from the grass,A brown dog and a black dog are in the grass
4.1869984,1,0,3.3,Several women are wearing pink bunny ears and are pointing to the right,The women are wearing something right and pointing at several bunny ears
4.1178374,0,1,3.8,Women are wearing bunny ears and race numbers and are curiously pointing at something in the distance,Several women are wearing pink bunny ears and are pointing to the right
3.9662054,0,2,3.6,Two people are looking at a gold statue,Two people are ignoring the nearby gold statue
2.3170593,0,1,3.3,A woman is wearing a blue helmet and is riding a bicycle in a parking lot,The bicyclist is not riding on a city street
4.7051425,1,2,4.0,A young girl is standing on one leg,A young girl is standing on both legs
4.0316634,0,1,4.2,The young boys are posing with a green soccer ball in a park,The young kids are posing with a green soccer ball in a park
3.4684756,0,2,4.6,A horse and its rider are not leaping over a barrier,A horse is leaping a hurdle and has a rider on its back
3.3978732,0,1,4.6,A horse is leaping a hurdle and has a rider on its back,A horse and its rider are leaping over a barrier
4.775389,1,2,3.2,A football player in a red and white uniform is being lifted by two teammates,A football player in a red and white uniform is being pulled down by two teammates
4.31782,1,0,4.1,A woman in a white dress and a woman in a blue dress are standing beside a stage,A woman in a white dress and a woman in a blue dress are standing on a stage
4.161665,1,2,3.7,Two young women with folded arms are looking away from the screen,Two young women with folded arms are looking at the screen
4.2497582,1,0,4.0,A boy is jumping off a platform and two other boys are standing and watching,A boy is jumping on a platform and two other boys are sitting absentmindedly
4.0208306,1,0,3.465,Three boys are jumping off a platform,A boy is jumping on a platform and two other boys are sitting absentmindedly
3.696064,0,1,3.0,"The grotto with a pink interior is being climbed by four middle eastern children, three girls and one boy",A group of kids is playing on a colorful structure
3.797515,0,1,3.785,"Four middle eastern children, three girls and one boy, are climbing on the grotto with a pink interior",A group of kids is playing on a structure which is colorful
3.400309,2,0,3.2,A child is making a snow ball,There is no kid in orange playing outside with a snowball
4.375213,1,0,4.3,Two people are sitting in lawn chairs and are reading books,Two people in two chairs are reading pleasantly
4.461366,0,1,4.5,Two people are sitting in lawn chairs and are reading books,Two people in two chairs are reading
4.112837,0,1,3.8,Two children are leaning on a rusty ledge,Two children are peering over a rusty ledge
4.086334,1,0,3.4,Two children are crouching under some metal bars,Two children are stretching over some metal bars
4.6069794,1,0,4.0,A man on a bike is riding on the shore,A person is riding a bicycle in the sand beside the ocean
4.145716,1,0,3.8,A seabird is slowly flying over some rocks,A large duck is flying over a rocky stream
3.6398447,2,0,3.8,A large duck is flying over a rocky stream,There is no seabird flying over some rocks
4.3245964,1,0,3.8,A large duck is flying over a rocky stream,A seabird is flying over some rocks
2.691004,2,0,2.8,The kids are chasing each other in the sand,There is no little boy running on the ground and playing with a little girl
4.2104955,1,0,3.5,A father is pulling his daughter on a go-kart and another girl is looking away,A father is pushing his daughter on a go-kart and another girl is watching
4.0873632,1,0,4.0,A dog is running up a grassy hill,A dog is quickly running uphill
3.7565544,0,1,4.4,A couple of white dogs are running and jumping along a beach,Two dogs are playing on the beach
3.577451,0,1,4.185,Two white dogs are running and jumping along a beach,Two dogs are playing on the beach
2.767038,2,0,3.2,The large brown dog is not running outside in the dirt,A dog is running alongside a fence on a dirt track
4.233126,1,0,3.8,A girl is jumping off a rock and another is standing on it,A girl is jumping on a rock and another is sitting on it
3.2299638,2,0,4.0,The man with brown hair is not wearing sunglasses and is not sitting at a table with cans of soda and other drinks,A young man with brown hair and sunglasses is sitting in front of some cans of soda
4.303203,1,0,3.0,A man is holding a sign and is seeking money,A man is seeking a sign and is holding some money
3.4770238,0,1,3.6,A snowboarder is doing a flip over a mound of snow,Somebody is leaping in the air on a board
4.251537,1,0,4.3,A large crowd in warm clothing is posing for a camera,A crowd is posing for a large camera man in heavy clothing
4.42125,1,0,3.8,"Two men, a woman, and two young boys are sitting in front of a large gathering of people outside a building","Two men, a woman, and two young boys are standing in front of a large gathering of people outside a building"
3.9982653,0,2,4.3,A blonde boy in green is sitting on a swing,A blonde boy in green is standing on a swing
4.1430335,1,0,3.7,A man in a red uniform is making a jump in a dirt bike race,A man in a red uniform is racing and making a jump over a bike in the dirt
3.3083873,0,1,4.1,A man in a red uniform is swiftly making a jump in a dirt bike race,A man is participating in a bmx race
3.2580183,0,2,3.0,A man is not participating in a bmx race,A man in a red uniform is making a jump in a dirt bike race
4.046497,0,1,4.6,Two twin preteen boys are dueling with sticks,Two twin preteen kids are dueling with sticks
4.0831885,0,1,4.8,Some people playing rugby are tackling each other,Rugby players are tackling each other
4.360878,1,0,4.1,The boy and girl are playing on the outdoor gym,Some kids are playing on a playground
3.6877928,2,0,2.9,Some children are not playing on a playground,The boy and girl are playing on the outdoor gym
3.5382884,2,0,3.4,Some children are playing on a playground,The boy and girl are not playing on a playground
4.313635,1,0,3.9,The boy and girl are playing on the outdoor gym,Some children are playing on a playground
3.9921231,2,0,3.765,The rider on the blue and black motocross bike is not wearing the pants,The motocross rider is wearing blue and black pants
3.3566484,0,1,3.9,"A biker with a blue jacket, black pants and a white helmet is driving on dirt and people are watching",Blue and black pants are being worn by the motocross rider
4.41214,1,0,4.4,An oriental man and two women are in front of a camera,An oriental man and two women are facing a camera
4.018222,1,2,3.2,An oriental man and two women are turning their backs to the camera,An oriental man and two women are facing a camera
3.9539185,1,0,4.0,An oriental man and two women are in front of a camera,A group of people is standing together and looking at the camera
4.731063,1,0,2.7,A small girl is riding in a toy car,A small toy girl is in a riding car
4.1405396,1,0,3.7,A child in a red outfit is jumping on a trampoline,A little boy in clothes dyed in red is jumping into the air
3.590379,0,2,3.0,A woman and three men are posing for a photo,Three men and a woman are running away from a picture
4.1615577,1,0,3.7,The black dog is sprinting through the grass,The black dog is walking through the tall grass
3.1315162,2,1,4.4,The black dog is walking through the tall grass,The black dog is not running through the grass
4.171123,1,0,3.8,A black dog is walking through some tall grass,The black dog is running through the grass
3.0437484,2,0,3.4,The black dog is not walking through the tall grass,The black dog is running through the grass
3.7760975,2,0,3.0,A dog is standing with its two front paws on a rock in a field,The black dog is not climbing on a rock
4.5583196,1,0,3.9,A young child with black hair is deleting a picture from the camera,A young child with black hair is taking a picture with a camera
4.0296435,1,0,3.5,A young child with black hair is taking a picture with a camera,A camera is being held in front of the face of a child
2.969272,2,0,2.8,A young child with black hair is taking a picture with a camera,There is no child holding a camera in front of his face
4.0108247,0,1,4.2,Two little boys are wearing tuxedos,Two little kids are wearing tuxedos
2.5980988,0,1,4.2,"Two boys, who look small, dressed in tuxedos are sitting on a red carpeted floor",Two little boys are wearing tuxedos
2.571855,0,1,4.4,Two small boys dressed in tuxedos are standing on a red carpeted floor,Two little boys are wearing tuxedos
2.1811106,0,1,4.5,Two small boys dressed in tuxedos are sitting on a red carpeted floor,Two little kids are wearing tuxedos
2.3342893,0,2,2.8,Two small boys dressed in tuxedos are sitting on a red carpeted floor,Two little boys are not wearing tuxedos
2.588977,0,1,4.4,Two small boys dressed in tuxedos are sitting on a red carpeted floor,Two little boys are wearing tuxedos
4.5967093,1,0,3.8,A dog with a muzzle and a blue jacket is running around the yard,A dog with a blue muzzle is running around the yard with a jacket
3.1862957,0,1,3.7,A dog with a muzzle and a blue jacket is running around the yard,A dog with a blue blanket is running through the grass
4.2069097,1,0,4.2,A person with a green shirt is jumping onto the grass,A person with a green shirt is jumping high over the grass
4.3155727,1,0,3.6,A woman in a black shirt is sitting next to a fluorescent green bag,A woman in a black shirt is standing next to a fluorescent green bag
4.346098,0,1,4.5,The man is doing a wheelie on a mountain bike,A person on a bike is riding on one wheel only
4.038682,0,1,4.7,One man is doing a wheelie on the mountain bike,A man on a bicycle is riding on one wheel only
3.7012665,2,0,4.0,The man is not doing a wheelie on a mountain bike,A man on a bicycle is riding on one wheel only
3.9239862,0,1,4.4,The man is doing a wheelie on a mountain bike,A man on a bicycle is riding on one wheel only
3.4722211,2,0,2.6,There is no brown duck with a green head flapping its wings in the water,A bird is flapping its wings on the water
2.791558,2,0,2.5,The brown dog is not playing outdoors,The furry brown dog is running through the grassy area
4.63757,1,2,3.5,A woman in a fur hat and fur coat is sitting outside a building,A woman in a fur hat and fur coat is standing outside a building
4.376138,1,0,3.6,The elderly lady is waiting on the sidewalk,The elderly person is waiting a lady on the sidewalk
3.9832902,0,1,3.8,A young child is running down a road made of gravel that is covered with dead leaves,A young child is running outside over the fallen leaves
3.9838786,0,1,4.1,A young child is running down a gravel road that is covered with dead leaves,A young child is running outside over the fallen leaves
4.54878,1,0,4.0,A man is wearing a long sleeved blue shirt and jeans and is riding a unicycle down a street,A man is wearing a blue checkered shirt and cheerfully riding a unicycle in the street
4.6663084,1,0,3.9,A man is wearing a long sleeved blue shirt and jeans and is riding a unicycle down a street,A man is wearing a blue checkered shirt and riding a unicycle in the street
4.143555,1,0,4.6,Some men in the distance are staring at three big hills,Three men are staring at the big green hills in the distance
4.0464315,1,0,3.4,Three men are looking into the distance,Three men are looking at something nearby
4.102221,1,0,3.8,One man is jumping off a rock wall and another man is dropping a rope,One man is climbing a rock wall and another man is holding a rope
3.3514633,0,1,4.2,Two children are playing on a statue,Small kids are climbing a statue in a park
3.6990087,0,1,4.4,Small children are climbing a statue in a park,Some children are playing on a statue
3.0531738,0,2,3.7,There are no children playing on a statue,Small children are climbing a statue in a park
2.8216407,0,2,3.75,A woman is turning her back from the view of a city,A woman is looking at the view of a city
1.9752276,0,2,2.4,There is no young child dressed for cold weather standing outside,A smiling boy in winter clothes is waving his mittened hands outside a building in the snow
3.7809625,0,1,4.1,A smiling boy in winter clothes is waving his mittened hands outside a building in the snow,A young child dressed for cold weather is standing outside
